#Ebakindel
#NB! Näiliselt mõnedes tekstides kõik täpitähed asendatud täppideta variantidega (mõnes tekstis isegi kadunud). Mida sellises olukorras teha?
('ettevotte', 25) #Potentsiaalne formaadiviga
('nous', 25) #Ka prantsuskeelne sõna
('moni', 22) #Ka koha/hõimu nimi
('uksnes', 17) #Vigasus ei tule kontekstist välja
('vaikelaenu', 16) #Vigasus ei tule kontekstist välja, potentsiaalne formaadiviga
('uhendust', 16) #Vigasus ei tule kontekstist välja, potentsiaalne formaadiviga
('wõrgus', 12) #Näiliselt kasutusel terminina (internet)
('wõrgust', 10) #Näiliselt kasutusel terminina (internet)
#Kindel
('tyhjaks', 12)
('ytlesid', 12)
('vaikelaen', 11)
('mõõdudes', 11)
('soitsime', 11)
('ylimalt', 11)
('yleyldse', 11)
('kyljes', 11)
('s6itis', 11)
('s6itma', 11)
('v6tsime', 11)
('yritasin', 11)
('syndinud', 11)
('m6eldud', 11)
('j2llegi', 11)
('v6imatu', 11)
('n2eb', 11)
('k2ia', 11)
('v6tsin', 11)
('v6imalus', 11)
('hypata', 11)
('t66l', 11)
('kymme', 11)
('kysimusi', 11)
('ylesanne', 11)
('nıng', 11)
('p4eva', 11)
('n4gime', 11)
('vasinud', 11)
('oosel', 11)
('vota', 11)
('yhtlasi', 11)
('v2sinud', 10)
('t6siselt', 10)
('tydruku', 10)
('6nne', 10)
('j22da', 10)
('6ues', 10)
('j6ime', 10)
('m6tet', 10)
('p4ris', 10)
('yksteist', 10)
('yldjuhul', 10)
('6petaja', 10)
('yksteise', 10)
('sobraga', 10)
('sôita', 10)
('vôiks', 10)
('tôesti', 10)
('raakis', 10)
('yhtki', 10)
('n6nda', 10)
('p6lema', 10)
('v6ib-olla', 10)
('s6itu', 10)
('kyllap', 10)
('moju', 10)
('yksnes', 10)
('synnib', 10)
('ennnast', 10)
('tahax', 10)
('t2hendab', 10)
('voimalusi', 10)
('wõrgust', 10)
('soltub', 10)
